_step,rewards/train/score/mean,actor/train/kl,completions/train/mean_length
0,1.0,,252.5
1,1.0,-0.0015303659019991755,140.0
2,1.0,0.011311893351376057,441.5
3,0.5,3.678828215925023e-05,164.0
4,-0.25,-0.0018399925902485847,94.0
5,-0.5,0.0005429044831544161,119.0
6,-0.75,0.009884882718324661,523.0
7,1.0,0.00040125439409166574,184.0
8,1.0,0.0003748199378605932,125.0
9,1.0,-0.0016169510781764984,100.5
10,0.75,-0.0007924891542643309,138.0
11,-2.5,0.002365264343097806,768.0
12,-1.0,-0.0028013649862259626,244.5
13,0.25,0.007230852264910936,145.5
14,1.0,0.005394100211560726,99.0
15,-1.5,-0.003667879616841674,198.0
16,-1.5,-0.006419191602617502,462.0
17,1.0,0.0011165812611579895,403.5
18,0.25,0.00490005686879158,178.0
19,-0.5,-0.0008394798496738076,163.0
20,-0.25,0.004765768069773912,69.5
21,1.0,-0.002937001409009099,212.5
22,-0.75,0.0028087524697184563,339.0
23,-0.75,-0.0003969535755459219,692.0
24,1.0,-0.0006767435697838664,123.0
25,1.0,0.002946605673059821,235.0
26,-0.25,0.0004996644565835595,85.0
27,-0.5,0.0025660907849669456,156.0
28,-2.5,-0.005356391426175833,768.0
29,-2.5,0.006271788384765387,768.0
30,-0.5,-0.0009652934968471527,312.0
31,-0.5,-0.005920841358602047,130.0
32,-1.5,0.003514290088787675,294.5
33,-0.5,-0.0074441260658204556,134.5
34,-0.5,0.012658384628593922,577.0
35,-0.5,-0.009050198830664158,222.0
36,1.0,-0.007515246048569679,201.0
37,1.0,-0.005633957218378782,131.5
38,1.5,-0.0070981294848024845,334.0
39,1.5,-0.00472953962162137,157.5
40,-1.5,-0.002944964449852705,545.0
41,1.0,-0.00030334366601891816,190.0
42,-0.5,-6.413208757294342e-05,196.0
43,-2.5,-0.0017680296441540122,768.0
44,0.25,0.00031527504324913025,183.5
45,-0.5,0.0025229076854884624,90.5
46,1.0,0.0014859194634482265,222.0
47,-0.5,0.002633807947859168,203.5
48,1.0,-0.0023688331712037325,146.0
49,1.0,0.011333204805850983,580.5
50,0.25,-0.0008965622982941568,166.5
51,-0.75,-0.0022288314066827297,483.0
52,1.0,0.002233552746474743,151.5
53,0.5,-0.002160031581297517,120.5
54,5.0,-0.0033859950490295887,160.5
55,-0.5,0.0008122274884954095,142.5
56,1.0,-0.0032054567709565163,94.5
57,1.0,-0.0034862495958805084,108.5
58,3.5,-0.009078048169612885,253.5
59,-0.5,0.0019040870247408748,234.5
60,0.5,0.004343114327639341,240.5
61,1.0,4.6601166104665026e-05,104.5
62,1.0,0.0020385815296322107,150.0
63,-2.0,-0.002661546226590872,345.5
64,1.0,-0.0009638956398703158,206.0
65,-0.75,0.002765021286904812,456.5
66,-1.5,0.0013250140473246574,222.0
67,0.25,0.017822524532675743,129.5
68,-1.0,0.0054386393167078495,151.5
69,0.5,0.004978331271559,188.0
70,4.0,-0.0031196665950119495,193.0
71,-1.5,-0.008017382584512234,413.0
72,-0.25,0.001720176893286407,94.0
73,1.0,-0.014636202715337276,214.5
74,7.875,0.0004511435399763286,155.0
75,-1.5,0.008958693593740463,111.0
76,-1.5,-0.005905392114073038,449.0
77,0.5,-0.00035096489591524005,110.0
78,1.0,0.0007506284164264798,158.5
79,-0.5,-0.007229777984321117,86.5
80,-0.5,-0.0033048070035874844,127.0
81,0.25,-0.015596892684698105,134.0
82,3.75,0.006756163667887449,272.0
83,1.0,0.006885111797600985,76.5
84,-1.5,0.037729449570178986,487.5
85,1.0,0.003706905525177717,120.5
86,-0.5,-0.01951243169605732,56.5
87,0.25,0.03680264577269554,153.5
88,1.0,-0.004623972345143557,83.5
89,-0.5,0.0013484840746968985,183.0
90,-0.25,-0.004269146826118231,144.5
91,-0.75,0.0144851915538311,530.5
92,1.0,0.009312746115028858,155.0
93,1.0,-0.0061502642929553986,200.0
94,1.0,0.004465456120669842,192.5
95,1.0,0.007439392618834972,150.0
96,-0.5,0.013935248367488384,310.0
97,-1.5,0.006244622636586428,255.5
98,0.25,-0.00260755093768239,201.5
99,-0.5,0.002344988053664565,163.0
100,-2.5,-0.0009067044011317194,768.0
101,5.5,-0.0008465784485451877,217.5
