completions/train/mean_length,actor/train/kl,rewards/train/score/mean,_step
249.625,,1.0,0
146.125,-0.0006316046346910298,1.0,1
514.75,0.003949905280023813,-0.9375,2
170.75,0.0002872403129003942,0.375,3
91.0,0.0029772650450468063,0.0,4
112.0,0.006513344123959541,-1.125,5
520.5,0.0013457451714202762,-0.375,6
190.25,-0.0001365669013466686,0.6875,7
87.0,0.0007281071157194674,0.1875,8
119.875,0.0006538397283293307,1.0,9
136.125,-0.0011280246544629335,0.0,10
392.25,0.001238760887645185,-1.0,11
224.875,-0.0013243849389255047,0.0,12
157.75,-0.005164548754692078,-0.125,13
100.625,0.015666503459215164,0.6875,14
279.0,-0.0022246132139116526,0.3125,15
193.0,0.0005292893038131297,-0.625,16
358.875,0.0002671795373316854,0.75,17
186.625,0.0026258782017976046,0.3125,18
154.0,3.559191782187554e-06,-0.125,19
59.25,0.011923258192837238,-0.125,20
217.625,-0.007219335064291954,1.0,21
337.75,0.00166765705216676,0.625,22
224.125,-0.00038609057082794607,-0.25,23
146.25,0.0014889946905896068,0.5,24
235.875,0.0016275503439828753,1.0,25
80.875,-0.00017498280794825405,-0.75,26
210.375,-0.0005127908661961555,0.0,27
627.25,-0.0009304687846451998,-1.8125,28
487.75,0.0008487561135552824,-1.75,29
269.375,0.0015476106200367212,-0.3125,30
245.25,0.0018878201954066753,-1.125,31
312.75,-2.0879733710899018e-05,-1.375,32
154.625,0.0007626489968970418,-0.625,33
421.625,0.0008648600778542459,-0.875,34
412.0,-0.0003283574478700757,-0.25,35
197.875,7.210484181996435e-05,1.0,36
133.375,-0.003534031333401799,0.6875,37
490.625,-0.00442622322589159,0.25,38
161.0,-0.0019751449581235647,-0.9375,39
639.25,0.0009227924747392535,-1.75,40
153.25,-0.0024913735687732697,0.8125,41
155.5,-0.00042106510954909027,-0.4375,42
733.375,0.0011102318530902267,-1.3125,43
196.75,0.0007700555142946541,0.375,44
97.125,0.0012045573676005006,-0.5,45
217.375,-0.002928904490545392,1.0,46
292.75,0.0011611892841756344,-0.75,47
137.125,0.003219986567273736,1.0,48
385.25,-0.001133731915615499,3.0625,49
179.375,0.0004652321513276547,-0.125,50
402.5,0.00028656216454692185,-0.5,51
172.5,0.004058245103806257,0.4375,52
123.625,0.001858313218690455,0.75,53
163.625,0.003362040501087904,-0.5,54
258.625,0.019126972183585167,-0.5625,55
96.75,0.0037324721924960613,0.6875,56
185.5,0.0004184042918495834,0.5625,57
241.25,0.0067185829393565655,-0.25,58
336.25,0.003186843590810895,-0.625,59
469.75,-0.00019926617096643895,-0.875,60
95.25,-0.0018165212823078036,0.875,61
163.5,0.002859180560335517,1.0,62
128.5,-0.0009438955457881093,1.0,63
304.75,0.02697426825761795,-0.75,64
481.75,0.003448295406997204,-0.5,65
354.875,0.000838297070004046,-1.0625,66
187.875,-0.002729554194957018,0.25,67
160.75,0.02027660608291626,-0.25,68
193.75,0.00041108406730927527,1.0,69
300.75,-0.0003172425494994968,-0.375,70
768.0,0.0039783320389688015,-2.5,71
90.25,-0.0015734139597043395,0.4375,72
258.375,-0.003959598019719124,2.3125,73
144.75,0.0014331635320559144,2.125,74
114.875,-0.0019256217638030648,-1.25,75
564.5,-0.003702854737639427,-1.625,76
99.25,0.0007319201249629259,1.0,77
140.25,0.0006215698085725307,1.0,78
201.0,0.005679139401763678,0.1875,79
173.25,-0.0002959771081805229,2.78125,80
208.875,0.0259974654763937,1.0,81
295.5,-0.0012297284556552768,0.625,82
87.75,0.000754403998143971,-0.3125,83
563.375,0.003786896588280797,-1.3125,84
87.0,-0.00169555249158293,0.625,85
87.625,0.001517323311418295,-0.75,86
135.5,0.015416528098285198,0.8125,87
85.375,0.003493636380881071,1.0,88
200.875,0.0013766365591436625,-0.3125,89
147.75,0.0007765342597849667,0.625,90
350.625,0.0013421957846730947,1.0,91
154.875,0.0004048944392707199,1.125,92
222.75,0.0012796908849850297,0.8125,93
190.25,-0.00017988802574109286,1.5,94
147.375,0.0015300569357350469,0.875,95
611.0,0.0023934717755764723,-1.5,96
329.125,0.00048745868843980134,-0.875,97
295.5,-0.00046642316738143563,2.0625,98
168.875,-0.003446762217208743,5.125,99
