completions/train/mean_length,rewards/train/score/mean,_step,actor/train/kl
159.625,-0.0625,0,
352.0,-0.6875,1,-0.0021918467245996
368.125,0.65625,2,0.003156714839860797
208.875,0.5625,3,-0.00024202732311096042
176.875,0.0,4,0.0018158301245421171
719.125,-2.5,5,0.006016554310917854
278.25,-0.75,6,-0.0002758026821538806
291.125,-0.75,7,0.0067695872858166695
268.25,0.4375,8,0.0007341507007367909
156.375,0.25,9,0.0009808535687625408
478.5,-1.625,10,-0.001726604881696403
241.875,0.5,11,-0.0014619523426517844
262.75,4.625,12,0.0027563837356865406
92.25,0.0625,13,0.00038039174978621304
201.875,0.0625,14,-0.0007622752455063164
142.625,-0.625,15,0.003461710177361965
344.375,-0.5,16,-0.001366957207210362
373.125,1.375,17,-0.002731013111770153
338.625,0.375,18,-0.001784549211151898
165.375,1.0,19,0.0008454877533949912
358.75,-0.0625,20,-0.0002729454718064517
383.875,-1.1875,21,0.002432178473100066
149.625,1.0,22,-0.00020368881814647466
495.75,-1.375,23,-0.0005782214575447142
80.125,-0.875,24,0.0018155688885599375
97.625,5.125,25,0.008192990906536579
185.125,0.0625,26,0.008080537430942059
130.25,-0.875,27,-0.0008618704741820693
547.125,-1.5,28,-0.0008098342805169523
519.0,-1.625,29,-0.001093386672437191
212.75,-2.0625,30,-0.00031295401277020574
168.125,0.625,31,0.0012560338946059346
201.625,0.8125,32,0.0023956298828125
338.5,-1.0,33,0.00048111422802321613
709.875,-0.9375,34,-0.0013700510608032346
73.0,-1.0,35,-0.0009625984821468592
307.875,-1.1875,36,0.009792407043278217
231.75,1.125,37,0.002348307752981782
202.625,0.125,38,0.0025014104321599007
224.375,0.375,39,-0.0007979742367751896
193.125,1.4375,40,-0.0026718012522906065
86.0,0.0,41,0.00034407211933285
135.25,-1.0,42,-0.0027160479221493006
266.0,0.28125,43,8.189611980924383e-05
190.75,-0.3125,44,0.0019856495782732964
265.75,-1.0,45,-0.006008852273225784
212.375,0.0,46,0.0010147212306037545
295.375,0.75,47,0.004542250651866198
215.625,0.125,48,-0.0016282914439216256
203.125,0.8125,49,0.0004932138253934681
350.375,-1.0,50,0.0003023259050678462
303.375,1.375,51,-0.0004484181699808687
317.125,2.0,52,-0.002570237498730421
159.375,0.25,53,0.002876675920560956
196.5,3.3125,54,0.0028461203910410404
394.5,-1.25,55,0.003183121094480157
141.0,4.875,56,0.000286173599306494
241.625,-0.3125,57,0.005870223976671696
135.75,0.75,58,0.0020479941740632057
213.5,0.46875,59,0.003535318188369274
206.375,6.71875,60,-0.005268109496682882
171.0,4.21875,61,0.01615375652909279
672.625,-1.5,62,0.02084002085030079
104.125,-0.4375,63,0.0007143958355300128
249.75,-0.3125,64,0.0074026999063789845
239.625,3.75,65,0.006838021334260702
237.75,-0.5,66,0.01735249161720276
87.5,3.6875,67,0.0002376744814682752
189.25,0.125,68,0.04327411577105522
148.375,-0.25,69,0.005494000855833292
226.375,-0.625,70,0.008197637274861336
146.25,3.875,71,0.00381523952819407
403.625,3.125,72,0.0159015916287899
335.625,2.8125,73,0.007122311275452375
121.875,2.28125,74,0.01668085716664791
123.25,4.75,75,0.03034871630370617
275.75,1.8125,76,0.07068222761154175
87.75,4.25,77,0.02005581744015217
79.375,-0.3125,78,0.058540720492601395
301.0,-1.0625,79,0.04066167026758194
146.125,2.4375,80,0.005789075046777725
112.125,0.0625,81,0.031107332557439804
86.5,3.75,82,-0.00015609640104230493
232.625,4.625,83,0.07638995349407196
234.625,1.875,84,0.03444193676114082
148.875,5.625,85,0.01901036500930786
99.375,3.5,86,0.011656968854367733
399.0,2.625,87,0.07827787101268768
482.875,2.28125,88,0.029705055058002472
419.375,2.25,89,0.0034200495574623346
101.25,5.875,90,0.015951626002788544
202.625,0.0,91,0.055530864745378494
260.625,3.1875,92,0.021826550364494324
195.75,4.125,93,0.03847014531493187
526.625,2.0625,94,0.029371092095971107
485.75,1.625,95,0.0023940643295645714
253.125,3.5625,96,0.014483748935163021
136.5,2.75,97,0.04719129949808121
495.375,1.5,98,0.06091964244842529
166.375,6.25,99,0.007430495694279671
253.625,5.5625,100,0.016138987615704536
179.75,7.25,101,0.051223739981651306
210.5,3.1875,102,0.0603676475584507
102.625,7.25,103,0.03751726076006889
492.75,1.75,104,0.1024685874581337
608.375,0.875,105,0.0029088042210787535
581.0,1.0,106,0.005532887764275074
188.375,4.1875,107,0.0054507446475327015
414.625,2.25,108,0.023988856002688408
556.375,1.125,109,0.00662433123216033
299.875,4.25,110,0.0011284475913271308
170.375,8.625,111,0.051198843866586685
248.75,3.625,112,0.058800242841243744
239.875,5.6875,113,0.04134977608919144
742.25,-0.0625,114,0.02566571533679962
222.0,3.25,115,0.0039025130681693554
217.375,5.53125,116,0.0447576642036438
284.625,4.25,117,0.04720066487789154
263.75,5.1875,118,0.024417605251073837
378.5,2.6875,119,0.031073106452822685
106.875,5.4375,120,0.013700502924621105
555.875,2.0,121,0.05283922329545021
189.0,6.375,122,0.013464846648275852
117.375,5.34375,123,0.05651920288801193
172.375,5.5,124,0.04117352515459061
250.75,6.6875,125,0.037920352071523666
199.75,5.25,126,0.04035536199808121
240.875,7.3125,127,0.03248050436377525
136.875,4.5625,128,0.046992264688014984
134.625,6.9375,129,0.05992842838168144
251.5,5.375,130,0.07182032614946365
196.5,7.53125,131,0.04003237187862396
259.625,4.5625,132,0.05811228230595589
224.375,3.875,133,0.034477099776268005
154.75,5.15625,134,0.04867421090602875
385.5,1.875,135,0.08411730080842972
162.5,6.9375,136,0.05071186646819115
373.25,4.125,137,0.030839890241622925
281.625,6.03125,138,0.028834275901317596
186.125,3.875,139,0.058477722108364105
298.375,8.6875,140,0.07365812361240387
507.25,2.6875,141,0.06852802634239197
712.875,0.125,142,0.021119924262166023
311.375,3.875,143,0.009492806158959866
104.0,4.125,144,0.018625544384121895
503.875,2.59375,145,0.11579844355583191
160.5,9.3125,146,0.020126530900597572
213.0,5.1875,147,0.07804355770349503
268.5,5.5625,148,0.046784285455942154
203.125,4.6875,149,0.021529974415898323
101.125,6.1875,150,0.05044899880886078
524.75,3.25,151,0.09035348147153854
176.0,4.8125,152,0.011781398206949234
543.25,1.875,153,0.0648958683013916
164.125,7.25,154,0.007171297445893288
293.25,4.875,155,0.06494821608066559
85.5,5.1875,156,0.04034005478024483
215.0,7.25,157,0.08268583565950394
152.5,3.875,158,0.03873057663440704
209.75,3.75,159,0.0617874413728714
341.875,5.625,160,0.06465102732181549
114.25,4.125,161,0.009644614532589912
123.5,4.8125,162,0.16276060044765472
172.125,7.625,163,0.08155480027198792
223.875,5.5,164,0.05460149794816971
188.5,4.5,165,0.06058899685740471
110.75,4.5,166,0.035681772977113724
331.5,3.5,167,0.05198369175195694
261.875,6.9375,168,0.028633713722229004
311.125,3.875,169,0.03966508060693741
393.625,3.25,170,0.014729376882314682
170.625,8.4375,171,0.023073000833392143
116.0,4.5,172,0.019718706607818604
200.25,6.28125,173,0.08268751204013824
265.375,5.3125,174,0.08052017539739609
215.625,5.25,175,0.04055856540799141
103.125,4.5,176,0.06274404376745224
295.75,8.0,177,0.04632944613695145
187.875,5.0625,178,0.012760793790221214
315.75,5.4375,179,0.026166921481490135
196.125,9.3125,180,0.05327090993523598
634.125,0.75,181,0.038962867110967636
